name,address,lat,lng,zone
Yoga Buenos Aires - Sede Almagro,Gascón 50,-34.6119527,-58.4241311,caballito2
Adhara Yoga,Julián Álvarez 1343,-34.5939382,-58.4256109,caballito2
ahimsa espacio de yoga,"Av directorio, Emilio Mitre y",-34.6293557,-58.44288779999999,caballito2
Āyāma Yoga,"Mario Bravo 1300, C1175ABX",-34.5946167,-58.4148634,caballito2
Yoga Vidya,"Pringles, Gorriti y, Buenos Aires",-34.5951142,-58.42399719999999,caballito2
SATYAM YOGA CABALLITO para la MUJER,Av. Rivadavia 6126,-34.6251654,-58.4524754,caballito2
Yana Yoga & Armonización - Caballito,"Guayaquil 777 y, Villa Luro",-34.6216613,-58.4391064,caballito2
Yoga Kai,"Av. Juan Bautista Alberdi 2048, GRW",-34.6299171,-58.4571491,caballito2
Tapas estudio de yoga,Lerma 490,-34.594233,-58.43212819999999,caballito2
Uno Yoga,Puán 205,-34.6255963,-58.4479621,caballito2
Melom Yoga,Av. Directorio 647 1424,-34.6280234,-58.43655339999999,caballito2
Laura Alperovich Yoga y Bioenergética,Av. Medrano 485,-34.6052502,-58.42111569999999,caballito2
ESPACIO YOGA Flores,Av. Carabobo 37,-34.6273138,-58.45660119999999,caballito2
Yoga GarmendiaOrueta,Honduras 3846,-34.594221,-58.4173428,caballito2
PH Calma Yoga & Meditación,Juan Ramírez de Velasco 1158,-34.5925255,-58.442309,caballito2
Malva Yoga,Vera 408,-34.5997286,-58.43719149999999,caballito2
La Estación Yoga,Mario Bravo 1029 7° A,-34.5974767,-58.4157107,caballito2
Unalom Yoga Estudio,Av. Eva Perón 2512,-34.6406891,-58.4558273,caballito2
Dhamma Abhyasa Yoga,Pje. el Maestro 52,-34.6168839,-58.43098920000001,caballito2
Is Espacio de Yoga,Gregorio de Laferrère 3738,-34.6441456,-58.47045549999999,caballito2
Lokah Yoga Studio,Dr. Eleodoro Lobos 330,-34.6137599,-58.4357887,caballito2
Brillos de Yoga,Av. Boyacá 1853 Piso 4,-34.608994,-58.46928879999999,caballito2
EXHALA YOGA STUDIO,Av. Asamblea 1436,-34.6368278,-58.4453128,caballito2
