name,address,lat,lng,zone
Yoga Vidya,"Pringles, Gorriti y, Buenos Aires",-34.5951142,-58.42399719999999,Caballito
Āyāma Yoga,"Mario Bravo 1300, C1175ABX",-34.5946167,-58.4148634,Caballito
ahimsa espacio de yoga,"Av directorio, Emilio Mitre y",-34.6293557,-58.44288779999999,Caballito
SATYAM YOGA CABALLITO para la MUJER,Av. Rivadavia 6126,-34.6251654,-58.4524754,Caballito
Laura Alperovich Yoga y Bioenergética,Av. Medrano 485,-34.6052502,-58.42111569999999,Caballito
Hatha Yoga,Loyola 940,-34.592558,-58.43885799999999,Caballito
Malva Yoga,Vera 408,-34.5997286,-58.43719149999999,Caballito
Adhara Yoga,Julián Álvarez 1343,-34.5939382,-58.4256109,Caballito
Yoga Kai,"Av. Juan Bautista Alberdi 2048, GRW",-34.6299171,-58.4571491,Caballito
PH Calma Yoga & Meditación,Juan Ramírez de Velasco 1158,-34.5925255,-58.442309,Caballito
Yoga Renaciendo Caballito,Eduardo Acevedo 27,-34.6152258,-58.4307083,Caballito
KURMA YOGA,Hidalgo,-34.6075427,-58.4414211,Caballito
Yoga Dinámico en Almagro,Bulnes 638 Sala 5,-34.6040458,-58.4186592,Caballito
Melom Yoga,Av. Directorio 647 1424,-34.6280234,-58.43655339999999,Caballito
Is Espacio de Yoga,Gregorio de Laferrère 3738,-34.6441456,-58.47045549999999,Caballito
Uno Yoga,Puán 205,-34.6255963,-58.4479621,Caballito
Yana Yoga & Armonización - Caballito,"Guayaquil 777 y, Villa Luro",-34.6216613,-58.4391064,Caballito
Yoga Buenos Aires - Sede Almagro,Gascón 50,-34.6119527,-58.4241311,Caballito
Ekam Prema Yoga & Ayurveda,Terrada 1884,-34.6120419,-58.4792721,Caballito
Yoga Factory,Billinghurst 1533,-34.5926408,-58.4118432,Caballito
Yoga con Elementos,"Tres Arroyos, Av. Boyacá Y",-34.6121145,-58.4663335,Caballito
Fusión Corporal Yoga y Pilates,Thames 575,-34.5950245,-58.4420852,Caballito
DespertarYoga_Rocio,Av. Boyacá 27,-34.6262601,-58.4568305,Caballito
Brillos de Yoga,Av. Boyacá 1853 Piso 4,-34.608994,-58.46928879999999,Caballito
La Estación Yoga,Mario Bravo 1029 7° A,-34.5974767,-58.4157107,Caballito
Yoga GarmendiaOrueta,Honduras 3846,-34.594221,-58.4173428,Caballito
Tapas estudio de yoga,Lerma 490,-34.594233,-58.43212819999999,Caballito
Casa colivri,Galicia 1350,-34.6093346,-58.457427,Caballito
