name,address,lat,lng,zone
Yoga Studio Buenos Aires,Esmeralda 1056,-34.5956391,-58.37857649999999,centro2
Vikasana Yoga Palermo,Av. Sta. Fe 3200,-34.5893086,-58.4101282,centro2
VIRYA Yoga Studio Recoleta,Ecuador 1511,-34.5927772,-58.402871,centro2
Sense Yoga,Av. Jujuy 2122,-34.63504560000001,-58.3990352,centro2
Yoga Vida Vital,"Humberto Primo, Piedras y",-34.6209181,-58.3773448,centro2
Estudio yoga Narayana,French 2647,-34.5894871,-58.4011697,centro2
Urdhva Espacio YOGA,Montevideo 513,-34.6026951,-58.38940820000001,centro2
AYOGA Recoleta,Vicente López 2240,-34.587477,-58.3957574,centro2
Āyāma Yoga,"Mario Bravo 1300, C1175ABX",-34.5946167,-58.4148634,centro2
Shanti Yoga Buenos Aires,"Marcelo Torcuato de Alvear 1371, Subsuelo A, C1058AAU",-34.5969392,-58.38668080000001,centro2
Yoga estudio,Florida 732,-34.5995004,-58.37544629999999,centro2
Yoga Factory,Billinghurst 1533,-34.5926408,-58.4118432,centro2
Meraki Yoga,Juan María Gutiérrez 2775,-34.5860503,-58.40081199999999,centro2
"OM Bienestar Integral: Yoga, Coaching y Tarot",Av. Raúl Scalabrini Ortiz 2416,-34.5858041,-58.4173623,centro2
Sodhana Yoga,"Microcentro, Maipú 484 Piso 2",-34.6025649,-58.37684249999999,centro2
Yoga Life,Brasil 431,-34.625311,-58.3716152,centro2
Fundación VIDA NATURAL YOGA,Charcas 2852,-34.5939496,-58.406736,centro2
Centro Ama Surya - Clases de Yoga y Acrobacia en Palermo y Recoleta,Paraguay 1567,-34.5983528,-58.3891972,centro2
Samadhi Yoga,"Paraná 473 1º B, Ciudad autonoma de Buenos Aires",-34.6033136,-58.3878557,centro2
Ganesha Yoga Recoleta,Paraná 858,-34.5987228,-58.38827669999999,centro2
Yoga GarmendiaOrueta,Honduras 3846,-34.594221,-58.4173428,centro2
Antu Malal Ashtanga Yoga,Arenales 2856,-34.59141,-58.40566659999999,centro2
CasaPranna Estudio de Yoga,Av. Sta. Fe 3388,-34.5873303,-58.4130058,centro2
Congreso Yoga,Junín 339,-34.605454,-58.3965741,centro2
La Estación Yoga,Mario Bravo 1029 7° A,-34.5974767,-58.4157107,centro2
San Telmo Yoga,Bolívar 1128,-34.6210482,-58.3727943,centro2
Yoga Estudio,Irala 131,-34.6300035,-58.3687086,centro2
Victoriar yoga,Austria 1728,-34.59058,-58.4077028,centro2
Maas Yoga Recoleta,Ayacucho 1230 PISO 4,-34.5942691,-58.39591919999999,centro2
Balvanera Yoga,"Av. Rivadavia 2530, ACR",-34.6100225,-58.40224079999999,centro2
Dharana Yoga embarazadas & yoga integral & hipopresivos,Paraguay 3423,-34.5927296,-58.4137849,centro2
Yoga integral,"Sarmiento 3057, C1196AAE",-34.6066058,-58.409473,centro2
