name,address,lat,lng,zone
Vikasana Yoga Palermo,Av. Sta. Fe 3200,-34.5893086,-58.4101282,Caballito
Yoga Vida Vital,"Humberto Primo, Piedras y",-34.6209181,-58.3773448,Caballito
Yoga Factory,Billinghurst 1533,-34.5926408,-58.4118432,Caballito
Urdhva Espacio YOGA,Montevideo 513,-34.6026951,-58.38940820000001,Caballito
Meraki Yoga,Juan María Gutiérrez 2775,-34.5860503,-58.40081199999999,Caballito
Āyāma Yoga,"Mario Bravo 1300, C1175ABX",-34.5946167,-58.4148634,Caballito
Yoga Life,Brasil 431,-34.625311,-58.3716152,Caballito
Samadhi Yoga,"Paraná 473 1º B, Ciudad autonoma de Buenos Aires",-34.6033136,-58.3878557,Caballito
VIRYA Yoga Studio Recoleta,Ecuador 1511,-34.5927772,-58.402871,Caballito
Fundación VIDA NATURAL YOGA,Charcas 2852,-34.5939496,-58.406736,Caballito
Maas Yoga Recoleta,Ayacucho 1230 PISO 4,-34.5942691,-58.39591919999999,Caballito
Sodhana Yoga,"Microcentro, Maipú 484 Piso 2",-34.6025649,-58.37684249999999,Caballito
Congreso Yoga,Junín 339,-34.605454,-58.3965741,Caballito
Matria- Espacio de Yoga,"Tucumán 2576, ABD",-34.6020533,-58.4032705,Caballito
Sense Yoga,Av. Jujuy 2122,-34.63504560000001,-58.3990352,Caballito
Estudio yoga Narayana,French 2647,-34.5894871,-58.4011697,Caballito
Balvanera Yoga,"Av. Rivadavia 2530, ACR",-34.6100225,-58.40224079999999,Caballito
Shanti Yoga Buenos Aires,"Marcelo Torcuato de Alvear 1371, Subsuelo A, C1058AAU",-34.5969392,-58.38668080000001,Caballito
"OM Bienestar Integral: Yoga, Coaching y Tarot",Av. Raúl Scalabrini Ortiz 2416,-34.5858041,-58.4173623,Caballito
Yoga Dinámico en Almagro,Bulnes 638 Sala 5,-34.6040458,-58.4186592,Caballito
Yoga en Congreso,Av. Entre Ríos 166,-34.610952,-58.3916361,Caballito
Centro Ama Surya - Clases de Yoga y Acrobacia en Palermo y Recoleta,Paraguay 1567,-34.5983528,-58.3891972,Caballito
Yoga GarmendiaOrueta,Honduras 3846,-34.594221,-58.4173428,Caballito
La Estación Yoga,Mario Bravo 1029 7° A,-34.5974767,-58.4157107,Caballito
Ganesha Yoga Recoleta,Paraná 858,-34.5987228,-58.38827669999999,Caballito
Momento de Yoga Ig@momentodeyoga,Peña 3100,-34.5852805,-58.40642860000001,Caballito
Espacio de yoga,"Av. Juan de Garay 2085, C1256AAC",-34.6274737,-58.3941732,Caballito
Yoga Studio Buenos Aires,Esmeralda 1056,-34.5956391,-58.37857649999999,Caballito
Yoga & Wellness,La Rioja 1925,-34.6341115,-58.40611000000001,Caballito
Yoga Congreso,"Av. Callao 339 2º, AAD",-34.6051355,-58.3920535,Caballito
Yoga por Hari,Brasil 300,-34.6253092,-58.36934489999999,Caballito
Sankalpa Pilates y Yoga,Maipú 484,-34.6025759,-58.3767692,Caballito
CasaPranna Estudio de Yoga,Av. Sta. Fe 3388,-34.5873303,-58.4130058,Caballito
Gisela Sueyro Yoga,Paraná 123,-34.6074318,-58.3875922,Caballito
Victoriar yoga,Austria 1728,-34.59058,-58.4077028,Caballito
Ayre Yoga,Valentín Gómez 3071 C1191AAE,-34.6051988,-58.4089724,Caballito
Yoga Centro AMA SURYA,"Bulnes 854, C1176ABP",-34.6016379,-58.4179988,Caballito
Naturaleza yoga,Tucumán 2200,-34.602248,-58.3984065,Caballito
Maitri Flow,Paraguay 1560,-34.5985985,-58.38914049999999,Caballito
ARKA Yoga Iyengar,Azcuénaga 688,-34.601355,-58.40105980000001,Caballito
Concepto Yoga Lakshmi,Av. Boedo 200,-34.6138883,-58.41701819999999,Caballito
Espacio Raíz Pilates y Yoga,Uruguay 667,-34.6009759,-58.386604,Caballito
Dharana Yoga embarazadas & yoga integral & hipopresivos,Paraguay 3423,-34.5927296,-58.4137849,Caballito
Yoga Aldea Shakti,Av. Alicia Moreau de Justo 1848,-34.620621,-58.3650014,Caballito
"Centro de Eutonía, Yoga y Yogaterapia",Rodríguez Peña 1054,-34.5965822,-58.392125,Caballito
Antu Malal Ashtanga Yoga,Arenales 2856,-34.59141,-58.40566659999999,Caballito
San Telmo Yoga,Bolívar 1128,-34.6210482,-58.3727943,Caballito
Ashtanga Yoga San Cristóbal - Milita Yoga,Combate de los Pozos 825,-34.618744,-58.39337399999999,Caballito
Yoga Habitando el Ser,"Maza, Estados Unidos y",-34.6226939,-58.4147872,Caballito
YOW Yoga & Wellness,"Sánchez de Loria 2317, C1241ACU",-34.637231,-58.4111827,Caballito
Satī•Pārvatī ~ Yoga con Elementos,Uruguay 252,-34.605869,-58.3866497,Caballito
Yoga integral,"Sarmiento 3057, C1196AAE",-34.6066058,-58.409473,Caballito
Parama Yoga Recoleta,Av. Sta. Fe 1780,-34.5960783,-58.39291739999999,Caballito
Yoga Surya,"Maza 448, C1206ACJ",-34.6163703,-58.41544089999999,Caballito
Ashtanga yoga Barrio Norte,Agüero 1595,-34.5919769,-58.4071559,Caballito
Alejandrina Yoga Masajes,"Av San Juan, Av. Boedo y",-34.6254582,-58.41612829999999,Caballito
Fundación Hampatu,"Florida 835 3ºpiso. C1005AAQ Ofi 323, AAQ",-34.5982514,-58.37531440000001,Caballito
Yoga estudio,Florida 732,-34.5995004,-58.37544629999999,Caballito
Yoga Kali Ashtanga Vinyasa,Ayacucho 136,-34.6076537,-58.3951016,Caballito
Ashtanga Yoga San Telmo,"Bolívar, Humberto 1º y",-34.6208513,-58.3728063,Caballito
