name,address,lat,lng,zone
"Yoga, Acroyoga y Masaje Thai",Dr. Emilio Ravignani 2391,-34.5763055,-58.4330216,coghlan2
Maas Yoga Belgrano,"Casa, 3 de Febrero 1165",-34.568214,-58.444112,coghlan2
Yoga Estudio Chacarita,"Fraga 717 P, Fraga 717",-34.5841439,-58.453616,coghlan2
YouBe Yoga Studio,Guatemala 5779,-34.5788191,-58.4335949,coghlan2
Andy Yoga Estudio - Clases de Yoga en Colegiales - Palermo,"Alvarez Thomas, Av. Dorrego y, Buenos Aires",-34.5830442,-58.4450199,coghlan2
Nida Yoga,Teodoro García 3399,-34.5791606,-58.45169480000001,coghlan2
Mood Yoga Hollywood,Av. Dorrego 1711 Timbre 11,-34.581735,-58.44304089999999,coghlan2
Yoga Wala Estudio,Jaramillo 4078,-34.5560029,-58.48385249999999,coghlan2
Sala 510 Yoga,Cdad. de la Paz 00510,-34.573094,-58.44366179999999,coghlan2
Yoga Integrativo,Crisólogo Larralde 1934,-34.5467752,-58.4635304,coghlan2
yoga en belgrano,Avenida Elcano 2984 1er. Piso Contrafrente,-34.5706475,-58.45793889999999,coghlan2
Centro De Yoga D.C.,"Arévalo 1695, CQG",-34.5811278,-58.44041190000001,coghlan2
Be Pulse - Yoga,Fitz Roy 1459 departamento 504,-34.5862878,-58.43863529999999,coghlan2
Prema | Yoga + Bienestar,3 de Febrero 2676,-34.5542838,-58.45655869999999,coghlan2
THAI YOGA Eliana Vinitsky,Bucarelli 1243,-34.5871293,-58.47822850000001,coghlan2
Dalila Yoga,Av. Congreso 2157,-34.5539217,-58.4601675,coghlan2
Yoga Colegiales,Santos Dumont 3454,-34.5828621,-58.4472025,coghlan2
Ashtanga Yoga Sattva,Av. Congreso 2157,-34.5540281,-58.46008019999999,coghlan2
Experiencia Yoga,Crisólogo Larralde 4419,-34.558613,-58.4866227,coghlan2
Yoga Marisa Espacio de Yoga-Coghlan/Saavedra - Meditación - Terapias - Retiros,Washington 3481,-34.557162,-58.4794065,coghlan2
Urban Lotus,Nicaragua 6042,-34.5782371,-58.438181,coghlan2
Kerala Estudio de Yoga Iyengar. Sonia Khoury Biraben,Av. Olazábal 1562,-34.5553645,-58.45001289999999,coghlan2
Somos Kula Yoga - Villa Urquiza,"Dr. Pedro Ignacio Rivera entre Altolaguirre, Burela y",-34.5749121,-58.4933661,coghlan2
Aptattva Yoga Estudio,Jaramillo 2364,-34.5478531,-58.46815700000001,coghlan2
Estudio Coghlan Yoga,Estomba 3436,-34.55857820000001,-58.48131050000001,coghlan2
Aruna Yoga,Paroissien 2025,-34.5447237,-58.46632899999999,coghlan2
Espacio Yoga MODOLILA,Quesada 3155,-34.5581134,-58.4706023,coghlan2
PuraVida Yoga,Ángel Justiniano Carranza 2200,-34.5784239,-58.4335161,coghlan2
Poder Yoga,"Av. Melián 2829, C1430EYI",-34.5623106,-58.47414920000001,coghlan2
Estudio de Yoga Surya Mangalam,"Puerta Simbolo Om, Blanco Encalada 1245",-34.55220389999999,-58.4474594,coghlan2
Ashtanga Yoga Claudio Querol,Av. Álvarez Thomas 20,-34.5831092,-58.44486610000001,coghlan2
Yoga IYENGAR Estudio Urbano,Migueletes 2387,-34.5533753,-58.44875009999999,coghlan2
