name,address,lat,lng,zone
Nida Yoga,Teodoro García 3399,-34.5791606,-58.45169480000001,coghlan
Maas Yoga Belgrano,"Casa, 3 de Febrero 1165",-34.568214,-58.444112,coghlan
Prema | Yoga + Bienestar,3 de Febrero 2676,-34.5542838,-58.45655869999999,coghlan
Yoga Integrativo,Crisólogo Larralde 1934,-34.5467752,-58.4635304,coghlan
Aruna Yoga,Paroissien 2025,-34.5447237,-58.46632899999999,coghlan
yoga en belgrano,Avenida Elcano 2984 1er. Piso Contrafrente,-34.5706475,-58.45793889999999,coghlan
Yoga Proyectomadre,Manuel Ugarte 2732,-34.5578718,-58.4648847,coghlan
Yoga Estudio Chacarita,"Fraga 717 P, Fraga 717",-34.5841439,-58.453616,coghlan
Dalila Yoga,Av. Congreso 2157,-34.5539217,-58.4601675,coghlan
Yoga Wala Estudio,Jaramillo 4078,-34.5560029,-58.48385249999999,coghlan
"Yoga, Acroyoga y Masaje Thai",Dr. Emilio Ravignani 2391,-34.5763055,-58.4330216,coghlan
Andy Yoga Estudio - Clases de Yoga en Colegiales - Palermo,"Alvarez Thomas, Av. Dorrego y, Buenos Aires",-34.5830442,-58.4450199,coghlan
Karuna Espacio Yoga,Dr. Rómulo S.Naón 2367,-34.5676136,-58.47232209999999,coghlan
Somos Kula Yoga - Villa Urquiza,"Dr. Pedro Ignacio Rivera entre Altolaguirre, Burela y",-34.5749121,-58.4933661,coghlan
Yoga Colegiales,Santos Dumont 3454,-34.5828621,-58.4472025,coghlan
Yoga Marisa Espacio de Yoga-Coghlan/Saavedra - Meditación - Terapias - Retiros,Washington 3481,-34.557162,-58.4794065,coghlan
Mood Yoga Hollywood,Av. Dorrego 1711 Timbre 11,-34.581735,-58.44304089999999,coghlan
Jardín del Cuerpo Yoga,Migueletes 2387,-34.5534308,-58.4487909,coghlan
Centro De Yoga D.C.,"Arévalo 1695, CQG",-34.5811278,-58.44041190000001,coghlan
Ashvattha YOGA Clases de yoga,Tte. Benjamín Matienzo 1606,-34.567228,-58.4330614,coghlan
THAI YOGA Eliana Vinitsky,Bucarelli 1243,-34.5871293,-58.47822850000001,coghlan
Sala 510 Yoga,Cdad. de la Paz 00510,-34.573094,-58.44366179999999,coghlan
Experiencia Yoga,Crisólogo Larralde 4419,-34.558613,-58.4866227,coghlan
Estudio de Yoga Surya Mangalam,"Puerta Simbolo Om, Blanco Encalada 1245",-34.55220389999999,-58.4474594,coghlan
YouBe Yoga Studio,Guatemala 5779,-34.5788191,-58.4335949,coghlan
Yoga por Jorge Frione,Av. del Libertador 5570,-34.5607824,-58.443859,coghlan
Ashtanga Yoga Sattva,Av. Congreso 2157,-34.5540281,-58.46008019999999,coghlan
Casa Lapau Yoga,"Gandara, Av. Triunvirato y",-34.5802479,-58.4759011,coghlan
Ashtanga Yoga Claudio Querol,Av. Álvarez Thomas 20,-34.5831092,-58.44486610000001,coghlan
Yogalāya Buenos Aires,Echeverría 1442,-34.5574049,-58.4461416,coghlan
Ashtanga Yoga Urquiza,"FBG, Av. Triunvirato 4311",-34.5772472,-58.48154959999999,coghlan
Yoga IYENGAR Estudio Urbano,Migueletes 2387,-34.5533753,-58.44875009999999,coghlan
Kundalini Yoga Fulgor del Ser,"B1602CYV Martín J. Haedo, Gral. Bernardo O'Higgins &, Florida",-34.5350491,-58.4940705,coghlan
Kerala Estudio de Yoga Iyengar. Sonia Khoury Biraben,Av. Olazábal 1562,-34.5553645,-58.45001289999999,coghlan
Be Pulse - Yoga,Fitz Roy 1459 departamento 504,-34.5862878,-58.43863529999999,coghlan
CIYBA Centro Iyengar Yoga BA,Av. Olazábal 2244,-34.5592724,-58.4566962,coghlan
Poder Yoga,"Av. Melián 2829, C1430EYI",-34.5623106,-58.47414920000001,coghlan
"Clases Online/Presencial de Yoga Individual, Parejas, Grupos y Embarazadas. Sesiones de Decodificación Biológica; Osteopatía Fluido Energético; Técnica Alexander.",Arce 215,-34.5715564,-58.4294757,coghlan
Laura Lebedinsky Ashtanga Yoga,"Charlone, Santos Dumont &, Buenos Aires",-34.5843107,-58.4480775,coghlan
⭐ Lola Armano Yoga 🧘‍♂️,"Aristóbulo del Valle 2700, Florida",-34.5433021,-58.4911842,coghlan
PuraVida Yoga,Ángel Justiniano Carranza 2200,-34.5784239,-58.4335161,coghlan
Escuela Yoga Veronica Belloli,Conesa 1319,-34.5713615,-58.4546585,coghlan
Gabi Abraham Yoga,"Tronador, Besares y",-34.5523515,-58.4870862,coghlan
YogaTK - Clases de Yoga y Profesorado de Yoga,11 de Septiembre de 1888 2721,-34.5529163,-58.45586119999999,coghlan
Espacio Yoga MODOLILA,Quesada 3155,-34.5581134,-58.4706023,coghlan
Maru Larroque Yoga,Nahuel Huapi 4300,-34.5666527,-58.4806567,coghlan
Escuela Yoga Para Occidente,Manuel Ugarte 2625,-34.5571771,-58.46400000000001,coghlan
Ariana Noto Yoga,Calle Jorge Newbery 3254,-34.5798152,-58.447059,coghlan
Escuela de Yoga Aham Sphurana,"Aguado 1396, Vicente López",-34.5367228,-58.474645,coghlan
Centro de Yoga La Rueda,"Francisco N. de Laprida 1416, Vicente López",-34.5348955,-58.47606939999999,coghlan
Govinda Espacio de Yoga,"Av. Triunvirato 3641, AAJ",-34.5818745,-58.4728004,coghlan
NIKETAN YOGA y Masaje Tailandés.,Concepción Arenal 2655,-34.576416,-58.4396076,coghlan
Mas Yoga,O'Higgins 2056,-34.5603297,-58.45269569999999,coghlan
