name,address,lat,lng,zone
Nida Yoga,Teodoro García 3399,-34.5791606,-58.45169480000001,palermo
Maas Yoga Belgrano,"Casa, 3 de Febrero 1165",-34.568214,-58.444112,palermo
Meraki Yoga,Juan María Gutiérrez 2775,-34.5860503,-58.40081199999999,palermo
Vikasana Yoga Palermo,Av. Sta. Fe 3200,-34.5893086,-58.4101282,palermo
Yoga Flow Terapéutico Palermo,Darregueyra 2140,-34.5835737,-58.4270253,palermo
Yoga Factory,Billinghurst 1533,-34.5926408,-58.4118432,palermo
Urdhva Espacio YOGA,Montevideo 513,-34.6026951,-58.38940820000001,palermo
Āyāma Yoga,"Mario Bravo 1300, C1175ABX",-34.5946167,-58.4148634,palermo
Ardha Yoga Estudio,Guatemala 5011,-34.5839009,-58.4273578,palermo
Samadhi Yoga,"Paraná 473 1º B, Ciudad autonoma de Buenos Aires",-34.6033136,-58.3878557,palermo
Yoga Vidya,"Pringles, Gorriti y, Buenos Aires",-34.5951142,-58.42399719999999,palermo
Laura Alperovich Yoga y Bioenergética,Av. Medrano 485,-34.6052502,-58.42111569999999,palermo
VIRYA Yoga Studio Recoleta,Ecuador 1511,-34.5927772,-58.402871,palermo
Hatha Yoga,Loyola 940,-34.592558,-58.43885799999999,palermo
"Yoga, Acroyoga y Masaje Thai",Dr. Emilio Ravignani 2391,-34.5763055,-58.4330216,palermo
Andy Yoga Estudio - Clases de Yoga en Colegiales - Palermo,"Alvarez Thomas, Av. Dorrego y, Buenos Aires",-34.5830442,-58.4450199,palermo
Malva Yoga,Vera 408,-34.5997286,-58.43719149999999,palermo
Momento de Yoga Ig@momentodeyoga,Peña 3100,-34.5852805,-58.40642860000001,palermo
Fundación VIDA NATURAL YOGA,Charcas 2852,-34.5939496,-58.406736,palermo
Antu Malal Ashtanga Yoga,Arenales 2856,-34.59141,-58.40566659999999,palermo
Yoga Colegiales,Santos Dumont 3454,-34.5828621,-58.4472025,palermo
Maas Yoga Recoleta,Ayacucho 1230 PISO 4,-34.5942691,-58.39591919999999,palermo
Adhara Yoga,Julián Álvarez 1343,-34.5939382,-58.4256109,palermo
Yoga Estudio Chacarita,"Fraga 717 P, Fraga 717",-34.5841439,-58.453616,palermo
Congreso Yoga,Junín 339,-34.605454,-58.3965741,palermo
Centro De Yoga D.C.,"Arévalo 1695, CQG",-34.5811278,-58.44041190000001,palermo
Mood Yoga Hollywood,Av. Dorrego 1711 Timbre 11,-34.581735,-58.44304089999999,palermo
Sala 510 Yoga,Cdad. de la Paz 00510,-34.573094,-58.44366179999999,palermo
Ashvattha YOGA Clases de yoga,Tte. Benjamín Matienzo 1606,-34.567228,-58.4330614,palermo
"Clases Online/Presencial de Yoga Individual, Parejas, Grupos y Embarazadas. Sesiones de Decodificación Biológica; Osteopatía Fluido Energético; Técnica Alexander.",Arce 215,-34.5715564,-58.4294757,palermo
KURMA YOGA,Hidalgo,-34.6075427,-58.4414211,palermo
Matria- Espacio de Yoga,"Tucumán 2576, ABD",-34.6020533,-58.4032705,palermo
PH Calma Yoga & Meditación,Juan Ramírez de Velasco 1158,-34.5925255,-58.442309,palermo
Yoga Dinámico en Almagro,Bulnes 638 Sala 5,-34.6040458,-58.4186592,palermo
YOGA SATTVA,Av. Sta. Fe 3800,-34.5841301,-58.4177175,palermo
Yoga Valletierra,Costa Rica 4562,-34.5891812,-58.42594179999999,palermo
Yoga por Jorge Frione,Av. del Libertador 5570,-34.5607824,-58.443859,palermo
Estudio yoga Narayana,French 2647,-34.5894871,-58.4011697,palermo
YouBe Yoga Studio,Guatemala 5779,-34.5788191,-58.4335949,palermo
Yogalāya Buenos Aires,Echeverría 1442,-34.5574049,-58.4461416,palermo
Fusión Corporal Yoga y Pilates,Thames 575,-34.5950245,-58.4420852,palermo
Balvanera Yoga,"Av. Rivadavia 2530, ACR",-34.6100225,-58.40224079999999,palermo
Ashtanga Yoga Claudio Querol,Av. Álvarez Thomas 20,-34.5831092,-58.44486610000001,palermo
"FLOW HAPPINESS YOGA, MEDITACIÓN & TERAPIA EMOCIONES CON BACH (Palermo, Online y Tigre centro)","Fitz Roy, Av. Sta. Fe Y, Buenos Aires",-34.578153,-58.4291567,palermo
La Estación Yoga,Mario Bravo 1029 7° A,-34.5974767,-58.4157107,palermo
Tapas estudio de yoga,Lerma 490,-34.594233,-58.43212819999999,palermo
Dash Pilates & Yoga,Av. Raúl Scalabrini Ortiz 2069,-34.5881753,-58.4205504,palermo
