name,address,lat,lng,zone
Yoga Integrativo,Crisólogo Larralde 1934,-34.5467752,-58.4635304,vilo2
maidayoga,"Manuel Belzu 2070, Vicente López",-34.5181581,-58.4948271,vilo2
Espacio Akasha- Yoga y Salud,"Gdor. Marcelino Ugarte 3338, Buenos Aires",-34.5232576,-58.5097407,vilo2
Aptattva Yoga Estudio,Jaramillo 2364,-34.5478531,-58.46815700000001,vilo2
Aruna Yoga,Paroissien 2025,-34.5447237,-58.46632899999999,vilo2
El Arte de Vivir,"Av. Maipú 881, Vicente López",-34.5297372,-58.48025269999999,vilo2
Lauriaba estudio,"Córdoba 2411, Olivos",-34.5123365,-58.4881554,vilo2
Ahora Yoga,"Av. Maipú 3633, La Lucila",-34.5021944,-58.4949889,vilo2
Abilei Yoga,"Av. Bartolomé Mitre 2002, Munro",-34.5315307,-58.51376070000001,vilo2
Nadia Estebanez Yoga Iyengar,"Esmeralda, Hilarión de la Quintana, Florida",-34.5202752,-58.48903660000001,vilo2
Gabi Abraham Yoga,"Tronador, Besares y",-34.5523515,-58.4870862,vilo2
OmShanti - Multiespacio,"Zufriategui 3837, Vicente López",-34.5506398,-58.503337,vilo2
Escuela Yoga Arco Iris,"Gral. Pacheco 3597, Olivos",-34.5075842,-58.5032935,vilo2
⭐ Lola Armano Yoga 🧘‍♂️,"Aristóbulo del Valle 2700, Florida",-34.5433021,-58.4911842,vilo2
Buen día Yoga,Zapiola 3855,-34.5502331,-58.475931,vilo2
Avalom Centro de Yoga,"Cnel. Manuel Rosetti 1893, Florida",-34.5288679,-58.50440239999999,vilo2
Espacio Jaramillo,Jaramillo 2937,-34.5506323,-58.4739012,vilo2
Dalila Yoga,Av. Congreso 2157,-34.5539217,-58.4601675,vilo2
Ashtanga Yoga Sattva,Av. Congreso 2157,-34.5540281,-58.46008019999999,vilo2
Prema | Yoga + Bienestar,3 de Febrero 2676,-34.5542838,-58.45655869999999,vilo2
YogaTK - Clases de Yoga y Profesorado de Yoga,11 de Septiembre de 1888 2721,-34.5529163,-58.45586119999999,vilo2
Caro Morganti Yoga Studio,"Av. Maipú 2923, Olivos",-34.5089905,-58.4915692,vilo2
Piur Yoga,"Pres. Hipólito Yrigoyen 750, Vicente López",-34.5173819,-58.477532,vilo2
Escuela de Yoga Aham Sphurana,"Aguado 1396, Vicente López",-34.5367228,-58.474645,vilo2
Marea~ espacio consciente ~ YOGA,"Av. Maipú 3986, Olivos",-34.4997574,-58.49696290000001,vilo2
Shala Luna Yoga - Catamarca,"Catamarca 2708, Olivos",-34.5077257,-58.4851652,vilo2
Kundalini Yoga Fulgor del Ser,"B1602CYV Martín J. Haedo, Gral. Bernardo O'Higgins &, Florida",-34.5350491,-58.4940705,vilo2
Alma del Parque,Arribeños 2928 timbre 99,-34.5503619,-58.4567596,vilo2
Maie Yoga,"La Paz 2125, Buenos Aires",-34.5003074,-58.5210076,vilo2
Nina Clases de Yoga | Masaje Tailandés - Belgrano-Núñez,11 de Septiembre de 1888 2633,-34.5535439,-58.4551528,vilo2
Anjali Yoga Iyengar,Av. del Libertador 6836,-34.5493883,-58.4545088,vilo2
Centro Manipura,"Carlos Villate 1530, Olivos",-34.5161502,-58.48833279999999,vilo2
AcroYoga Xima,Paroissien 2680,-34.5478374,-58.47239450000001,vilo2
Fy Espacio de Bienestar,3 de Febrero 3011,-34.5503583,-58.45899989999999,vilo2
Devayana Escuela de Yoga,"B1640CGL, Castelli 2646, Martínez",-34.5011988,-58.5111173,vilo2
Estudio Pronoia,"Gral. José de San Martín 750, Vicente López",-34.5202166,-58.47568599999999,vilo2
YOGA DRISHTI,"1636, Eduardo Ramseyer 1431, Buenos Aires",-34.5133346,-58.48817039999999,vilo2
Shanti Estudio de Yoga,"Gral. José de San Martín 3328, Florida Oeste",-34.5347749,-58.50562249999999,vilo2
Devenir Yoga,Ramallo 1975,-34.5407066,-58.4684881,vilo2
El Altillo Yoga,"B1636GPJ, Carlos Villate 2260, Olivos",-34.5200608,-58.4963396,vilo2
PAULA VANINA YOGA,Buenos Aires,-34.533901,-58.4788858,vilo2
Yoga ABC (Arte -Belleza -Cultura),"Blas Parera 1239, Florida",-34.535571,-58.50133650000001,vilo2
Centro de Yoga La Rueda,"Francisco N. de Laprida 1416, Vicente López",-34.5348955,-58.47606939999999,vilo2
La Brújula Espacio de Bienestar,"Urquiza 3681, Florida Oeste",-34.5382836,-58.50887849999999,vilo2
Nataraja Centro de Yoga,"Juan de Garay 2800 Rosetti 2331, Pres. Hipólito Yrigoyen 4567, Vicente López",-34.5237709,-58.5083125,vilo2
Yoga Tierra ®,"José Fioravanti 7, Villa Martelli",-34.5501211,-58.5016382,vilo2
Yoga _ María de Barrio,"Adolfo Alsina 1844, Vicente López",-34.5365358,-58.482342,vilo2
Anahata Yoga,"Dr. Jonas Salk 4245, Buenos Aires",-34.5035371,-58.50867179999999,vilo2
Ana Zubillaga,"Carlos Villate 1891, Olivos",-34.5179348,-58.49242029999999,vilo2
Ashtanga Olivos,"Carlos Villate 2260, Olivos",-34.520028,-58.49627030000001,vilo2
Axa Yoga,"Edison 1658, Martínez",-34.5018454,-58.51813359999999,vilo2
Espacio Namasté Olivos,"Cnel. Manuel Rosetti 2200, Olivos",-34.5252644,-58.50730850000001,vilo2
TILO yoga,"Bolivia 180, Villa Martelli",-34.5495415,-58.5049765,vilo2
YOGA SUTRA,"J. Ingenieros 1053, La Lucila",-34.5018817,-58.491116,vilo2
Pia Yoga,"Av.Libertador, Av. Congreso y",-34.5507596,-58.4531648,vilo2
Dandëlion,"Caseros 513, Vicente López",-34.5347077,-58.48137260000001,vilo2
Mueve (Centro de Yoga),Vuelta de Obligado 3326,-34.5504303,-58.4654933,vilo2
Yoga con Gaba,"Gdor. Valentín Vergara 2385, Florida",-34.5299217,-58.4939048,vilo2
Yoga A Domicilio,"Pje Galileo Galilei 2839, Martínez",-34.5010139,-58.5060185,vilo2
Espacio Prema Shanti-Yoga & Reiki,"Libertad 3700, Florida Oeste",-34.5348347,-58.511423,vilo2
Abrir_nos,"larpida 2064, Vicente López",-34.5388027,-58.484339,vilo2
AMESAMIS Yoga y Meditación,"Juan Bautista Justo 628 Estudio 1, Vicente López",-34.5369035,-58.489578,vilo2
Loto Blanco Yoga Florida,"Esmeralda 1610, Florida",-34.519981,-58.48802370000001,vilo2
Zamurai Espacio Holístico,"Martín J. Haedo 1505, Florida",-34.5287818,-58.4813664,vilo2
Centro Norma Fol,"Virrey Liniers 1331, Florida",-34.528538,-58.488986,vilo2
fluage,"Caseros 902, Vicente López",-34.531179,-58.484021,vilo2
ESPACIO MACHI yoga,"Hilarión de la Quintana 1424 dpto 12, Vicente López",-34.525458,-58.4849687,vilo2
YOGA Olivos Dojo,"Gral. José de San Martín 1735, Vicente López",-34.5253562,-58.48693850000001,vilo2
Loft Studio,"Av. Ada Elflein 4025, Buenos Aires",-34.4956122,-58.49026790000001,vilo2
AraYoga,"San Isidro Labrador 21, Martínez",-34.493878,-58.49768030000001,vilo2
Studio Cata Olivos ( Yoga - Stretching- Hipopresivo-Zumba),"Ricardo Gutiérrez 1835, Olivos",-34.5133055,-58.4947649,vilo2
Yoga Baires - Tradición Krishnamacharya KHYF,"Emilio Lamarca 327, Martínez",-34.4881467,-58.4964682,vilo2
Clases De Yoga en La Lucila - Abhaya yoga,"Domingo de Acassuso 1001, La Lucila",-34.5033978,-58.48952,vilo2
Comunidad Espacios,"Roque Sáenz Peña 1690, Olivos",-34.5111121,-58.4939043,vilo2
Shala Luna Yoga - Pelliza,"Mariano Pelliza 1196, Olivos",-34.5069544,-58.48910590000001,vilo2
Espacio Mantram,"Olaguer y Feliú 348, Martínez",-34.4983407,-58.50012239999999,vilo2
Ekam Ashtanga Yoga,"Italia 2020, Martínez",-34.4910192,-58.5028354,vilo2
Casa del Yoga,"B1636CDA, Valle Grande 3341, Olivos",-34.5141284,-58.5113935,vilo2
Ana Zubillaga,"Luis Sáenz Peña 1536, Martínez",-34.488495,-58.50762400000001,vilo2
Centro Argentino de Yoga y Wellness,"San Lorenzo 2562, Martínez",-34.4966713,-58.5029583,vilo2
Masajes Y Quiropraxia Galileo,"Pje Galileo Galilei 2839, Martínez",-34.5008504,-58.505802,vilo2
