name,address,lat,lng,zone
Yoga Integrativo,Crisólogo Larralde 1934,-34.5467752,-58.4635304,vilo
Aruna Yoga,Paroissien 2025,-34.5447237,-58.46632899999999,vilo
Espacio Jaramillo,Jaramillo 2937,-34.5506323,-58.4739012,vilo
El Arte de Vivir,"Av. Maipú 881, Vicente López",-34.5297372,-58.48025269999999,vilo
Espacio Akasha- Yoga y Salud,"Gdor. Marcelino Ugarte 3338, Buenos Aires",-34.5232576,-58.5097407,vilo
Centro Manipura,"Carlos Villate 1530, Olivos",-34.5161502,-58.48833279999999,vilo
Prema | Yoga + Bienestar,3 de Febrero 2676,-34.5542838,-58.45655869999999,vilo
Dalila Yoga,Av. Congreso 2157,-34.5539217,-58.4601675,vilo
Nadia Estebanez Yoga Iyengar,"Esmeralda, Hilarión de la Quintana, Florida",-34.5202752,-58.48903660000001,vilo
Escuela Yoga Arco Iris,"Gral. Pacheco 3597, Olivos",-34.5075842,-58.5032935,vilo
Ahora Yoga,"Av. Maipú 3633, La Lucila",-34.5021944,-58.4949889,vilo
Kundalini Yoga Fulgor del Ser,"B1602CYV Martín J. Haedo, Gral. Bernardo O'Higgins &, Florida",-34.5350491,-58.4940705,vilo
Devayana Escuela de Yoga,"B1640CGL, Castelli 2646, Martínez",-34.5011988,-58.5111173,vilo
Shala Luna Yoga - Catamarca,"Catamarca 2708, Olivos",-34.5077257,-58.4851652,vilo
Gabi Abraham Yoga,"Tronador, Besares y",-34.5523515,-58.4870862,vilo
Avalom Centro de Yoga,"Cnel. Manuel Rosetti 1893, Florida",-34.5288679,-58.50440239999999,vilo
Centro de Yoga La Rueda,"Francisco N. de Laprida 1416, Vicente López",-34.5348955,-58.47606939999999,vilo
YogaTK - Clases de Yoga y Profesorado de Yoga,11 de Septiembre de 1888 2721,-34.5529163,-58.45586119999999,vilo
Fy Espacio de Bienestar,3 de Febrero 3011,-34.5503583,-58.45899989999999,vilo
Abilei Yoga,"Av. Bartolomé Mitre 2002, Munro",-34.5315307,-58.51376070000001,vilo
Ashtanga Yoga Sattva,Av. Congreso 2157,-34.5540281,-58.46008019999999,vilo
Yoga Tierra ®,"José Fioravanti 7, Villa Martelli",-34.5501211,-58.5016382,vilo
Anjali Yoga Iyengar,Av. del Libertador 6836,-34.5493883,-58.4545088,vilo
Pia Yoga,"Av.Libertador, Av. Congreso y",-34.5507596,-58.4531648,vilo
TILO yoga,"Bolivia 180, Villa Martelli",-34.5495415,-58.5049765,vilo
Shala Luna Yoga - Pelliza,"Mariano Pelliza 1196, Olivos",-34.5069544,-58.48910590000001,vilo
Axa Yoga,"Edison 1658, Martínez",-34.5018454,-58.51813359999999,vilo
Centro de Ashtanga Yoga,Munich 1735,-34.5547942,-58.45340270000001,vilo
Marea~ espacio consciente ~ YOGA,"Av. Maipú 3986, Olivos",-34.4997574,-58.49696290000001,vilo
Buen día Yoga,Zapiola 3855,-34.5502331,-58.475931,vilo
Nina Clases de Yoga | Masaje Tailandés - Belgrano-Núñez,11 de Septiembre de 1888 2633,-34.5535439,-58.4551528,vilo
Centro Norma Fol,"Virrey Liniers 1331, Florida",-34.528538,-58.488986,vilo
Aptattva Yoga Estudio,Jaramillo 2364,-34.5478531,-58.46815700000001,vilo
Escuela de Yoga Aham Sphurana,"Aguado 1396, Vicente López",-34.5367228,-58.474645,vilo
⭐ Lola Armano Yoga 🧘‍♂️,"Aristóbulo del Valle 2700, Florida",-34.5433021,-58.4911842,vilo
AcroYoga Xima,Paroissien 2680,-34.5478374,-58.47239450000001,vilo
Yoga _ María de Barrio,"Adolfo Alsina 1844, Vicente López",-34.5365358,-58.482342,vilo
Piur Yoga,"Pres. Hipólito Yrigoyen 750, Vicente López",-34.5173819,-58.477532,vilo
