name,address,lat,lng,zone
Clases de YOGA ~ Amalia,"2225, Buenos Aires",-34.6480804,-58.37891980000001,Centro
"Centro Holístico de Yoga, Astrología y Musicoterapia",Famatina 3302,-34.646037,-58.40824840000001,Caballito
Estudio de Yoga -Milagros García,"DYF, Cachi 210, C1437DYF",-34.6457271,-58.4126449,Caballito
Is Espacio de Yoga,Gregorio de Laferrère 3738,-34.6441456,-58.47045549999999,Caballito
Casa 8 - Estudio de Yoga,San Pedro 4055,-34.6439267,-58.4756341,Caballito
Centro de Yoga,Lagos 2989,-34.6426164,-58.4042402,Caballito
RAYÜN - TERAPIAS,Trole 149,-34.641695,-58.4194755,Caballito
Unalom Yoga Estudio,Av. Eva Perón 2512,-34.6406891,-58.4558273,Caballito
Espacio Amatista Yoga,Juan de Alagón 53,-34.640472,-58.42229990000001,Caballito
Crezia Pilates & Yoga,Av. Amancio Alcorta 1867,-34.6385896,-58.3879071,Caballito
Clases de yoga y pilates mats,Manuel García 209,-34.638068,-58.3966282,Caballito
Yoga Melina,Santander 1855,-34.63760389999999,-58.4458663,Caballito
Chatra Yoga Parque Patricios,"Sanchez de Loria 2345 No es a la calle, Sánchez de Loria 2343 C1241ACT EDIFICIO PISO 6",-34.6375421,-58.4112312,Centro
YOW Yoga & Wellness,"Sánchez de Loria 2317, C1241ACU",-34.637231,-58.4111827,Caballito
Ashtanga Yoga Parque Chacabuco,Curapaligüe 1242,-34.6369498,-58.4453883,Caballito
EXHALA YOGA STUDIO,Av. Asamblea 1436,-34.6368278,-58.4453128,Caballito
Yoga y Pilates,Av. Caseros 2825,-34.6364584,-58.4025567,Centro
Clases de Yoga Iyengar. Parque Chacabuco. Lorena Ghirimoldi,"Balbastro y Centenera, Av. José María Moreno 1500",-34.6363242,-58.43313919999999,Caballito
Hari Om,Doblas 1693,-34.63595300000001,-58.4274814,Caballito
Yoga y Pilates laura,Baigorri 191 191,-34.6356619,-58.3859038,Centro
Ashtanga Yoga Floresta,Av. Juan Bautista Alberdi 3515 A,-34.6356055,-58.47566510000001,Caballito
Sense Yoga,Av. Jujuy 2122,-34.63504560000001,-58.3990352,Centro
SolVida Yoga&Masajes,Pedernera 485,-34.6346992,-58.4619738,Caballito
Yoga&Chi kung,Av. Carabobo 690,-34.6342711,-58.45277160000001,Caballito
Yoga & Wellness,La Rioja 1925,-34.6341115,-58.40611000000001,Caballito
Fundación Hastinapura Parque Chacabuco,Del Barco Centenera 1243,-34.6337813,-58.43644909999999,Caballito
Espacio Konasana yoga,Av. Coronel Esteban Bonorino 477 PB,-34.6333413,-58.45747129999999,Caballito
El Cielo Espacio,Ensenada 7,-34.6333242,-58.47875599999999,Caballito
Instituto de Yoga Maria Poveda,Ciudad Autónoma de Buenos Aires,-34.6332418,-58.40758340000001,Caballito
Espacio Compromiso Bienestar,Salcedo 3274,-34.6329387,-58.41101509999999,Caballito
Yoga Barracas,Gualeguay 1330,-34.6329336,-58.3716878,Caballito
Prakriti Yoga,Malvinas Argentinas 765,-34.6327165,-58.4486154,Caballito
Yoga Flores Ananda Vital,Zona Misericordia,-34.6323537,-58.4579061,Caballito
Burpee FTG,"Plaza 11 de Noviembre, Av. Juan Bautista Alberdi 2641, Av. Varela 446, Buenos Aires",-34.631971,-58.46513669999999,Caballito
Anandi Yoga,Av. Carabobo 436,-34.63192,-58.4539863,Caballito
Garage del Carmen,Ituzaingó 747,-34.6307815,-58.37483959999999,Centro
Ayelen Yoga Sattva,Av. La Plata 1300,-34.6302693,-58.4257403,Caballito
