name,address,lat,lng,zone
Proyecto Presente,Amenábar 2445,-34.559723,-58.4612379,vilo2
Espacio Holistico Despertado Consciencia,Paroissien 4750,-34.5568279,-58.4918245,vilo2
TILO yoga,"Bolivia 180, Villa Martelli",-34.5495415,-58.5049765,vilo2
Vivir Mejor - yoga meditación y más,"Coronel Manuel Rosetti, Gral. Juan Lavalle &, Florida",-34.5405658,-58.49636469999999,vilo2
La Brújula Espacio de Bienestar,"Urquiza 3681, Florida Oeste",-34.5382836,-58.50887849999999,vilo2
Yoga ABC (Arte -Belleza -Cultura),"Blas Parera 1239, Florida",-34.535571,-58.50133650000001,vilo2
Espacio Prema Shanti-Yoga & Reiki,"Libertad 3700, Florida Oeste",-34.5348347,-58.511423,vilo2
Ashtanga munro,"Cornelio Saavedra 2280, Munro",-34.5348333,-58.5259511,vilo2
Shanti Estudio de Yoga,"Gral. José de San Martín 3328, Florida Oeste",-34.5347749,-58.50562249999999,vilo2
Abilei Yoga,"Av. Bartolomé Mitre 2002, Munro",-34.5315307,-58.51376070000001,vilo2
Avalom Centro de Yoga,"Cnel. Manuel Rosetti 1893, Florida",-34.5288679,-58.50440239999999,vilo2
Nahuel Mazzeo Yoga,"Gral. Belgrano 2650, Munro",-34.5288104,-58.52433479999999,vilo2
Espacio Namasté Olivos,"Cnel. Manuel Rosetti 2200, Olivos",-34.5252644,-58.50730850000001,vilo2
Nataraja Centro de Yoga,"Juan de Garay 2800 Rosetti 2331, Pres. Hipólito Yrigoyen 4567, Vicente López",-34.5237709,-58.5083125,vilo2
Espacio Akasha- Yoga y Salud,"Gdor. Marcelino Ugarte 3338, Buenos Aires",-34.5232576,-58.5097407,vilo2
Nadia Estebanez Yoga Iyengar,"Esmeralda, Hilarión de la Quintana, Florida",-34.5202752,-58.48903660000001,sanisidro
Estudio Pronoia,"Gral. José de San Martín 750, Vicente López",-34.5202166,-58.47568599999999,sanisidro2
El Altillo Yoga,"B1636GPJ, Carlos Villate 2260, Olivos",-34.5200608,-58.4963396,sanisidro
Ashtanga Olivos,"Carlos Villate 2260, Olivos",-34.520028,-58.49627030000001,sanisidro2
Loto Blanco Yoga Florida,"Esmeralda 1610, Florida",-34.519981,-58.48802370000001,sanisidro
zonayoga,"Av. de Mayo 1102, Villa Adelina",-34.5182945,-58.5435311,sanisidro
maidayoga,"Manuel Belzu 2070, Vicente López",-34.5181581,-58.4948271,sanisidro
Ana Zubillaga,"Carlos Villate 1891, Olivos",-34.5179348,-58.49242029999999,sanisidro2
Piur Yoga,"Pres. Hipólito Yrigoyen 750, Vicente López",-34.5173819,-58.477532,sanisidro
Sukha Yoga,"Cosme Argerich 2375, Gran Buenos Aires",-34.5165226,-58.5349382,sanisidro
Sukha Yoga,"Cosme Argerich 2364 2300, B1607AVD, Villa Adelina",-34.5163281,-58.5349382,sanisidro
Centro Manipura,"Carlos Villate 1530, Olivos",-34.5161502,-58.48833279999999,sanisidro
Cuerpo y Alma,"Av. de Mayo 668, DCT",-34.5143929,-58.54177629999999,sanisidro
Casa del Yoga,"B1636CDA, Valle Grande 3341, Olivos",-34.5141284,-58.5113935,sanisidro
YOGA DRISHTI,"1636, Eduardo Ramseyer 1431, Buenos Aires",-34.5133346,-58.48817039999999,sanisidro
